V,timestamps
-2.61932373046875,0.0349
-2.7471923828125,0.035
-2.4505615234375,0.0351
-2.60955810546875,0.035199999999999995
-2.684326171875,0.0353
-2.7545166015625,0.0354
-2.6446533203125,0.0355
-2.5567626953125,0.0356
-2.55828857421875,0.035699999999999996
-2.75299072265625,0.0358
-2.52349853515625,0.0359
-2.5018310546875,0.036
-2.60711669921875,0.0361
-2.80853271484375,0.036199999999999996
-2.43927001953125,0.0363
-2.62420654296875,0.0364
-2.7581787109375,0.0365
-2.7496337890625,0.0366
-2.95166015625,0.036699999999999997
-2.63763427734375,0.0368
-2.752685546875,0.0369
-2.6068115234375,0.037
-2.57293701171875,0.0371
-2.67181396484375,0.0372
-2.6715087890625,0.0373
-2.774658203125,0.0374
-2.894287109375,0.0375
-2.4603271484375,0.0376
-2.48016357421875,0.0377
-2.462158203125,0.0378
-2.75726318359375,0.0379
-2.6495361328125,0.038
-2.7484130859375,0.0381
-2.7593994140625,0.0382
-2.6861572265625,0.0383
-2.7337646484375,0.038400000000000004
-2.57598876953125,0.0385
-2.6922607421875,0.038599999999999995
-2.8955078125,0.0387
-2.64923095703125,0.0388
-2.67730712890625,0.0389
-2.6043701171875,0.039
-2.9052734375,0.039099999999999996
-2.72003173828125,0.0392
-2.9736328125,0.0393
-2.72064208984375,0.0394
-2.799072265625,0.0395
-3.09417724609375,0.039599999999999996
-2.62481689453125,0.0397
-2.82470703125,0.0398
-2.99530029296875,0.0399
-2.64007568359375,0.04
-2.78076171875,0.0401
-2.69561767578125,0.0402
-3.00933837890625,0.0403
-3.10089111328125,0.0404
-3.00567626953125,0.0405
-2.8717041015625,0.0406
-2.769775390625,0.0407
-2.930908203125,0.0408
-2.59918212890625,0.0409
-2.99407958984375,0.041
-3.08837890625,0.0411
-3.00872802734375,0.0412
-2.913818359375,0.0413
-2.68096923828125,0.0414
-2.87078857421875,0.041499999999999995
-3.0657958984375,0.0416
-2.96905517578125,0.0417
-2.9425048828125,0.041800000000000004
-2.930908203125,0.0419
-2.9046630859375,0.041999999999999996
-2.82684326171875,0.0421
-2.8173828125,0.0422
-2.72705078125,0.0423
-2.984619140625,0.0424
-3.04107666015625,0.042499999999999996
-2.63671875,0.0426
-2.97393798828125,0.0427
-3.05267333984375,0.0428
-3.0322265625,0.0429
-3.115234375,0.043
-2.91473388671875,0.0431
-3.02642822265625,0.0432
-2.91290283203125,0.0433
-2.933349609375,0.0434
-2.75634765625,0.0435
-2.95745849609375,0.0436
-3.00323486328125,0.0437
-2.79571533203125,0.0438
-3.094482421875,0.0439
-2.65533447265625,0.044
-2.8179931640625,0.0441
-2.86773681640625,0.0442
-2.85552978515625,0.0443
-2.943115234375,0.0444
-2.913818359375,0.0445
-2.98065185546875,0.0446
-2.8826904296875,0.0447
-2.9718017578125,0.0448
-2.78900146484375,0.0449
-2.90496826171875,0.045
-2.9852294921875,0.0451
-2.80792236328125,0.0452
-2.672119140625,0.0453
-2.6641845703125,0.045399999999999996
-3.0352783203125,0.0455
-2.9766845703125,0.0456
-2.95196533203125,0.0457
-2.760009765625,0.0458
-3.03466796875,0.045899999999999996
-2.86590576171875,0.046
-2.9840087890625,0.0461
-2.85003662109375,0.0462
-2.95684814453125,0.0463
-2.78167724609375,0.0464
-2.9937744140625,0.0465
-2.90191650390625,0.0466
-2.6287841796875,0.0467
-3.18603515625,0.0468
